EVTOPTA_EADAS_6001;Borrow 50 gold;Emprunter 50 piиces d'or;50 Goldstьcke borgen;;Tomar prestado 50 de oro;;;;;;;;;x
EVTOPTB_EADAS_6001;Borrow 250 gold;Emprunter 250 piиces d'or;250 Goldstьcke borgen;;Tomar prestado 250 de oro;;;;;;;;;x
EVTOPTC_EADAS_6001;Borrow 500 gold;Emprunter 500 piиces d'or;500 Goldstьcke borgen;;Tomar prestado 500 de oro;;;;;;;;;x
EVTOPTD_EADAS_6001;Borrow nothing;Ne pas emprunter;Nichts borgen;;No tomar prestado nada;;;;;;;;;x
EVTDESC_EADAS_6005;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nYour generous gift to the Order shall not be forgotten. The money will come to good use in the defense against those who threaten the true faith. \n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6005;Excellent.;Excellent.;Hervorragend.;;Excelente.;;;;;;;;;x
EVTDESC_EADAS_6115_C;"[plot_target.GetAssassinsCrimeOutcry], [plot_target.GetFirstName]," I announced and [plot_target.GetFirstName] woke with a jerk. In a manner uncharacteristically quick for a [plot_target.GetManWoman] having just woken up, [plot_target.GetSheHe] threw [plot_target.GetHerselfHimself] at me! In the struggle my mask fell off and I was wounded by my own weapon. By some miracle, I managed to escape.;;;;;;;;;;x
EVTDESC_EADAS_6115_D;"The time has come for the judgment of [Root.Religion.GetHighGodNameCap]!" I raised my dagger, ready to strike, but then someone tackled me from behind. In the struggle my mask fell off and I was wounded by my own weapon. By some miracle, I managed to escape.;;;;;;;;;;x
EVTDESC_EADAS_6115_E;As I bent over [plot_target.GetFirstName]'s sleeping figure [plot_target.GetSheHe] woke with a start, and before I could bury the dagger in [plot_target.GetHerHim], [plot_target.GetSheHe] screamed. The next moment, guards burst through the door, overwhelming me. In the struggle my mask fell off and I was wounded by my own weapon. By some miracle, I managed to escape.;;;;;;;;;;x
EVTDESC_EADAS_6116;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nI am sorry to inform you my attempt to end the [plot_target.GetInsultAdjective] [plot_target.GetTitledFirstName] failed. My identity was discovered and I fear they can track the killing back to you, [Root.GetSocietyRank]. I am most sorry.\n\nPraised be [Root.Religion.GetHighGodNameCap],\nSigned, [assassin.GetSocietyRank] [assassin.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6116;That useless, [assassin.GetInsultAdjective] [assassin.GetFirstName]!;;;;;;;;;;x
EVTOPTA_EADAS_6116_TOOLTIP;The attempt on §Y[plot_target.GetTitledFirstName]§!'s life failed and your involvement was discovered.\n;;;;;;;;;;x
EVTDESC_EADAS_6117_A;"I am here to carry out [Root.Religion.GetHighGodNameCap]'s judgment, [Root.GetFirstName]. [Root.GetAssassinsCrimeOutcry]!" I launch myself at the assassin and we fall to the ground, a tangle of limbs and curses. By some miracle, I manage to wrestle the dagger from [assassin.GetHerHis] hand and slay [assassin.GetHerHim]!;;;;;;;;;;x
EVTDESC_EADAS_6117_B;"No one escapes [Root.Religion.GetHighGodNameCap]'s judgment, or [Root.Society.GetName]. [Root.GetAssassinsCrimeOutcry]!" I launch myself at the assassin and we fall to the floor, a tangle of limbs and curses. By some miracle, I manage to wrestle the dagger from [assassin.GetHerHis] hand and slay [assassin.GetHerHim]!;;;;;;;;;;x
EVTDESC_EADAS_6117_E;"No one escapes [Root.Religion.GetHighGodNameCap]'s judgment, or [Root.Society.GetName]. [Root.GetAssassinsCrimeOutcry], [Root.GetFirstName]." And then, the guards burst through the door. My assailant hesitates for one second too many and my protectors get hold off [assassin.GetHerHim]. There is struggle, curses, and blood. Within moments, the assassin lay dead on the floor.;;;;;;;;;;x
EVTOPTA_EADAS_6117;This is the fate befalling the enemies of [Root.GetTitledFirstName]!;;;;;;;;;;x
EVTDESC_EADAS_6118_A;At first, everything went according to plan. It was easy to separate [plot_target.GetFirstName] from [plot_target.GetHerHis] guards. However, as I pulled my dagger, [plot_target.GetSheHe] threw [plot_target.GetHerselfHimself] at me! The struggle was a tangle of limbs, curses, and blood. A sharp pain, and then there was nothing.;;;;;;;;;;x
EVTDESC_EADAS_6118_B;The burly jailer had fallen asleep but [plot_target.GetTitledFirstName] was wide awake when I entered [plot_target.GetHerHis] cell. As I lunged at [plot_target.GetHerHim], [plot_target.GetSheHe] managed to block my dagger and tackle me to the floor. The struggle was a tangle of limbs, curses, and blood. A sharp pain, and then there was nothing.;;;;;;;;;;x
EVTDESC_EADAS_6118_C;"[plot_target.GetAssassinsCrimeOutcry], [plot_target.GetFirstName]," I announced and [plot_target.GetFirstName] woke with a jerk. In a manner uncharacteristically quick for a [plot_target.GetManWoman] having just woken up, [plot_target.GetSheHe] threw [plot_target.GetHerselfHimself] at me! We fell to the floor, a tangle of limbs, curses, and blood. A sharp pain, and then there was nothing.;;;;;;;;;;x
EVTDESC_EADAS_6118_D;"The time has come for the judgment of [Root.Religion.GetHighGodNameCap]!" I raised my dagger, ready to strike, but then someone tackled me from behind. We fell to the floor, a tangle of limbs, curses, and blood. A sharp pain, and then there was nothing.;;;;;;;;;;x
EVTDESC_EADAS_6118_E;As I bent over [plot_target.GetFirstName]'s sleeping figure [plot_target.GetSheHe] woke with a start, and before I could bury the dagger in [plot_target.GetHerHim], [plot_target.GetSheHe] screamed. The next moment, guards burst through the door, overwhelming me. We fell to the floor, a tangle of limbs, curses, and blood. A sharp pain, and then there was nothing.;;;;;;;;;;x
EVTDESC_EADAS_6119;A messenger arrived from [plot_target.Location.GetName] last night. Apparently [assassin.GetSocietyRank] [assassin.GetFirstName] failed in their attempt to slay [plot_target.GetTitledFirstName], and was killed themselves. This will surely be tracked back to you.;;;;;;;;;;x
EVTDESC_EADAS_6204_A;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nThe time is nigh for your subjects in [conversion_province.GetName] to adopt the true religion. Teach them about Triarchy greatness and the words of Saint Navruz. When a majority of the population in the county has converted to the Triarchy faith, your mission is complete.\n\nPraised be [Root.Religion.GetHighGodNameCap]!\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6204_B;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nThe time is nigh for the people in [conversion_province.GetName], a county of your subject [conversion_province_owner.GetTitledFirstName], to adopt the true religion. When a majority of the population in the county has converted to the Triarchy faith, your mission is complete.\n\nPraised be [Root.Religion.GetHighGodNameCap]!\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6204;It shall be done, [From.GetSocietyRank].;;;;;;;;;;x
EVTOPTB_EADAS_6204;I cannot fulfill your request at this time.;;;;;;;;;;x
EVTDESC_EADAS_6205_A;The people of the county [conversion_province.GetName] has now fully embraced faith in Triarchy as their religion. From [conversion_province.Capital.GetHolding] to countryside, the names of [Root.Religion.GetHighGodNameCap], their prophets and saints are honored and cherished. Your mission is complete.;;;;;;;;;;x
EVTOPTA_EADAS_6205_A;Three Blessings!;;;;;;;;;;x
EVTDESC_EADAS_6206;As [plot_target.GetTitledFirstName] has now met [plot_target.GetHerHis] end at your hands, your mission is completed.;;;;;;;;;;x
EVTDESC_EADAS_6207;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\n[owes_the_assassins.GetTitledFirstName] has refused to pay back what [owes_the_assassins.GetSheHe] owes us. We are in need of that money, and it is up to you to collect the debt. I fear the [owes_the_assassins.GetSocietyRank] need some "encouragement" to part with [owes_the_assassins.GetHerHis] gold. I am sure you can think of something.\n\nPraised be [Root.Religion.GetHighGodNameCap]!\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6207_TOOLTIP;Activate the plot "Collect Debt" plot with §Y[owes_the_assassins.GetTitledFirstName]§! as your target to being your mission.;;;;;;;;;;x
EVTDESC_EADAS_6208;I have ensured a way into the [owes_the_assassins.Host.Capital.GetHolding] of [owes_the_assassins.Host.Capital.GetName] where my target, [owes_the_assassins.GetTitledFirstName], resides. In one way or another, I must attempt to scare [owes_the_assassins.GetHerHim] into paying back [owes_the_assassins.GetHerHis] debt. The question is, where is [owes_the_assassins.GetFirstName]'s weak spot?;;;;;;;;;;x
EVTOPTA_EADAS_6208;The promise of death scares even the bravest of [owes_the_assassins.GetMenWomen].;;;;;;;;;;x
EVTOPTA_EADAS_6208_TOOLTIP;Threaten to assassinate §Y[owes_the_assassins.GetTitledFirstName]§!.\n;;;;;;;;;;x
EVTOPTB_EADAS_6208;I will threaten someone [owes_the_assassins.GetSheHe] holds dear.;;;;;;;;;;x
EVTOPTB_EADAS_6208_TOOLTIP;Threaten to assassinate §Y[threaten_dear_relation.GetTitledFirstName]§!.\n;;;;;;;;;;x
EVTOPTC_EADAS_6208;[owes_the_assassins.GetSheHeCap] is a greedy [owes_the_assassins.GetManWoman]. I'll target [owes_the_assassins.GetHerHis] wealth.;;;;;;;;;;x
EVTOPTC_EADAS_6208_TOOLTIP;Threaten to ruin §Y[owes_the_assassins.GetTitledFirstName]§!.\n;;;;;;;;;;x
EVTOPTD_EADAS_6208;I will attack [owes_the_assassins.GetHerHis] profane [owes_the_assassins.Religion.GetHighGodName].;;;;;;;;;;x
EVTOPTD_EADAS_6208_TOOLTIP;Threaten [owes_the_assassins.Religion.GetHighGodName].\n;;;;;;;;;;x
EVTDESC_EADAS_6212;My [GetFromRelation] [From.GetTitledFirstName] has come to me, shaken and pale, with a note. [From.GetSheHeCap] found it in [From.GetHerHis] [From.GetChamber] alongside a piece of [From.GetHerHis] favorite cake, which was surely poisoned. The words on the note are directed at me – [Root.Society.GetName] demand that I return the money I owe or my [GetFromRelation] will pay in my stead.;;;;;;;;;;x
EVTDESC_EADAS_6213;A week ago, a fire broke out in the trade district of [fire_town.GetName]. It consumed many storehouses and shops. The local trade will not recover in many years. At first, it was thought to be an accident, but now I know better. I have found a note in my [Root.GetChamber]. [Root.Society.GetName] want their money back, or my treasury shall burn next.;;;;;;;;;;x
trade_district_fire;Trade District Fire;;;;;;;;;;x
trade_district_fire_desc;A fire has ravaged the local trade district, consuming the majority of storehouses and shops, resulting in many bankrupt traders and craftsmen.;;;;;;;;;;x
EVTDESC_EADAS_6215_A;Not a single servant turned their head as I entered the [owes_the_assassins.Host.Capital.GetHolding], not even as I stepped into [owes_the_assassins.GetTitledFirstName]'s [owes_the_assassins.GetChamber]. There, I left my note by a cup, which I laced with a non-lethal dose of poison. It seemed to do the trick – [grand_master.GetSocietyRank] [grand_master.GetFirstName] informed me that the money was returned this morning.;;;;;;;;;;x
EVTDESC_EADAS_6215_B;I infiltrated the kitchen staff and bribed a servant to tell me about the [threaten_dear_relation.GetTitledFirstName]'s favorite cake. I brought a slice containing some "secret ingredients" and placed it in [threaten_dear_relation.GetHerHis] [threaten_dear_relation.GetChamber] next to a note directed at [owes_the_assassins.GetTitledFirstName]. It seemed to do the trick – [grand_master.GetSocietyRank] [grand_master.GetFirstName] informed me that the money was returned this morning.;;;;;;;;;;x
EVTDESC_EADAS_6215_C;I watched the trade districts of [fire_town.GetName] burn from the safety of a distant hill. How it spread! As the flames danced from building to building, I was convinced the message would get across to [owes_the_assassins.GetTitledFirstName]. Indeed, I was correct – [grand_master.GetSocietyRank] [grand_master.GetFirstName] informed me that the money was returned this morning.;;;;;;;;;;x
EVTDESC_EADAS_6216_A;Not a single servant turned their head as I entered the [owes_the_assassins.Host.Capital.GetHolding], not even as I stepped into [owes_the_assassins.GetTitledFirstName]'s [owes_the_assassins.GetChamber]. There, I left my note by a cup, which i laced with a non-lethal dose of poison. However, it turns out that [owes_the_assassins.GetFirstName] is a foolhardy [owes_the_assassins.GetManWoman] – [owes_the_assassins.GetSheHe] still refuses to repay [owes_the_assassins.GetHerHis] debt.;;;;;;;;;;x
EVTDESC_EADAS_6216_B;I infiltrated the kitchen staff of the [owes_the_assassins.Host.Capital.GetHolding] and bribed [threaten_dear_relation.GetTitledFirstName]'s servant to tell me about the [threaten_dear_relation.GetLordLady]'s favorite cake. I brought a slice containing some "secret ingredients" and placed it in [threaten_dear_relation.GetHerHis] [threaten_dear_relation.GetChamber] next to a note directed at [owes_the_assassins.GetTitledFirstName]. However, it turns out that [owes_the_assassins.GetFirstName] is a foolhardy [owes_the_assassins.GetManWoman] – [owes_the_assassins.GetSheHe] still refuses to repay [owes_the_assassins.GetHerHis] debt.;;;;;;;;;;x
EVTDESC_EADAS_6216_C;I watched the trade districts of [fire_town.GetName] burn from the safety of a distant hill. How it spread! As the flames danced from building to building, I was convinced the message would get across to [owes_the_assassins.GetTitledFirstName]. However, it turns out that [owes_the_assassins.GetFirstName] is a foolhardy [owes_the_assassins.GetManWoman] – [owes_the_assassins.GetSheHe] still refuses to repay [owes_the_assassins.GetHerHis] debt.;;;;;;;;;;x
EVTOPTA_EADAS_6215;That greedy [owes_the_assassins.GetInsultNoun]!;;;;;;;;;;x
EVTDESC_EADAS_6221;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nIt is time to strike against the infidel [infidel_holding_owner.GetTitledName]. Your mission is to raise your armies and occupy the [infidel_holding.GetHolding] [infidel_holding.GetName] in [infidel_holding_owner.GetHerHis] county [infidel_holding_province.GetName].\n\nMay [Root.Religion.GetHighGodNameCap] be with you, [Root.GetSocietyRank]!\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6222;The [infidel_holding.GetHolding] [infidel_holding.GetName] is now under my control. I have struck a heavy blow against [infidel_holding_owner.GetTitledName] in the name of [Root.Society.GetName]! My mission is now complete.;;;;;;;;;;x
EVTOPTA_EADAS_6221;I shall hoist our banner high over the [infidel_holding.GetHolding]!;;;;;;;;;x
dark_elves_assassins_scare_ruler;Intimidate Ruler for Favor;;;;;;;;;;x
EVTDESC_EADAS_6840;There is something strange, almost ominous, about [FromFrom.GetTitledFirstName]. The other day when we were exchanging pleasantries, [FromFrom.GetSheHe] asked me about my [Root.GetMatterOfImportance]. Normally, this would not unsettle me, but there was something about the tone of [FromFrom.GetHerHis] voice... Veiled or not, a threat is a threat, and this was certainly one.;;;;;;;;;;x
EVTOPTA_EADAS_6840;I cannot risk crossing [FromFrom.GetFirstName].;;;;;;;;;;x
EVTDESC_EADAS_6841;When I met [From.GetTitledFirstName] the other day, I inquired about [From.GetHerHis] [From.GetMatterOfImportance]. [From.GetSheHeCap] certainly seemed to notice my veiled threat – [From.GetHerHis] [From.GetFaceDescription] face turned ashen and for the reminder of our conversation [From.GetSheHe] would not meet my gaze.;;;;;;;;;;x
EVTOPTA_EADAS_6841;[From.GetFirstName] will not dare to cross me.;;;;;;;;;;x
EVTDESC_EADAS_6842;I have marked [From.GetTitledFirstName] for death. Soon enough, one of my assassins will be sent on a mission to end [From.GetHerHis] life. They will notify me when the deed is done.;;;;;;;;;;x
EVTDESC_EADAS_6843;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nIt is done. [plot_target.GetTitledFirstName] has met [plot_target.GetHerHis] end at my hands. As these news reach our other enemies, they will tremble with fear!\n\nGlory to [Root.Society.GetName]!\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6249;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nWhile our members are devout believers, many lack the practical skills, bodily stamina, and rigorous education needed by an expert assassin. Therefore I give you this mission, [Root.GetSocietyRank]: take on a protйgй and turn them into a weapon of [Root.Religion.GetHighGodNameCap]'s fury.\n\nPraised be [Root.Religion.GetHighGodNameCap]!\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
String_assassins_drugs;You will inhale the drugs provided by the Order, and soon see their effects.;Vous inhalerez la drogue fournie par l'Ordre, et verrez bientфt ses effets.;Ihr werdet die vom Orden bereitgestellten Drogen einatmen und bald ihre Wirkungen erkennen.;;Inhalarбs las drogas provistas por la Orden, y pronto notarбs sus efectos.;;;;;;;;;x
String_assassins_drugs_withdrawal;You will inhale the drugs provided by the Order, and soon see their effects.\nThis will help with your withdrawal, but use comes at a risk.;Vous inhalerez la drogue fournie par l'Ordre et verrez bientфt ses effets.\nCeci aidera pour votre йtat de manque, mais sa consommation est risquйe.;Ihr werdet die vom Orden bereitgestellten Drogen einatmen und bald ihre Wirkungen erkennen.\nDies wird Euch bei Eurer Entziehung helfen, doch die Verwendung ist mit einem Risiko verbunden.;;Inhalarбs las drogas provistas por la Orden, y pronto notarбs sus efectos.\nEsto aliviarб tu sнndrome de abstinencia, pero conlleva riesgos.;;;;;;;;;x
assassins_drug_decision_tt;[Custom.GetAssassinsDrugsTooltip]\n;[Custom.GetAssassinsDrugsTooltip]\n;[Custom.GetAssassinsDrugsTooltip]\n;;[Custom.GetAssassinsDrugsTooltip]\n;;;;;;;;;x
EVTDESC_EADAS_6816;As if from a haze, I emerge, once more standing in the light of the sun. I did not even fully understand what was weighing so heavily on my mind, but its dark grasp has finally loosened.;Je suis comme sorti[Root.Get_E] d'un brouillard et de nouveau а la lumiиre du soleil. Je n'ai mкme pas compris ce qui pesait si lourdement sur mon esprit, mais l'obscure emprise s'est finalement desserrйe.;Ich tauche wie aus einem Nebel auf und stehe wieder im Licht der Sonne. Ich hatte noch nicht einmal genau verstanden, was so schwer auf meiner Seele gelastet hatte, doch endlich hat sich der finstere Griff gelockert.;;Emerjo, como de la niebla, a la luz del sol. Ni siquiera lleguй a comprender quй asfixiaba mi mente, pero esa oscura soga por fin se ha soltado.;;;;;;;;;x
EVTOPTA_EADAS_6816;I feel calmer than I have for a long time.;Je n'ai pas йtй aussi apaisй[Root.Get_E] depuis longtemps.;Ich fьhle mich ruhiger als ich seit langem gewesen bin.;;Hacнa mucho tiempo que no sentнa tanta paz.;;;;;;;;;x
EVTOPTB_EADAS_6816;Demons of the mind, I say to thee, be gone.;Les dйmons de l'esprit, je vous le dis, sont partis.;Dдmonen des Geistes, ich befehle euch, von mir zu weichen.;;Demonios de la mente, vade retro.;;;;;;;;;x
EVTOPTC_EADAS_6816;The very sight of the world no longer drains me, it emboldens!;La vue mкme du monde ne me ponctionne plus, elle m'enhardit !;Der Anblick der Welt raubt mir nicht mehr die Kraft, sondern erfьllt mich mit Kraft!;;La simple visiуn del mundo ya no me consume, Ўme alienta!;;;;;;;;;x
EVTOPTD_EADAS_6816;The scales of madness have fallen from before my eyes.;Les aspects de la folie se sont dissipйs devant mes yeux.;Die Schuppen des Wahnsinns sind mir von den Augen gefallen.;;Las escamas de la locura se me han caнdo de los ojos.;;;;;;;;;x
EVTDESC_EADAS_6817;As my mind perceives the world in new and unexpected ways, the shapes in the smoke filling my chamber crystallize, and I begin to understand.;Alors que je perзois le monde de faзon nouvelle et inattendue, les formes dans la fumйe remplissant ma chambre s'immobilisent, et je commence а comprendre.;Als mein Geist die Welt auf neue, unerwartete Weisen wahrnimmt, kristallisieren sich die Formen im Rauch, der meine Kammer erfьllt, und ich beginne zu verstehen.;;A medida que mi mente percibe el mundo de maneras nuevas e insospechadas, se materializan las formas en el humo que invade mi cбmara, y yo empiezo a comprender.;;;;;;;;;x
EVTOPTA_EADAS_6817;I see friends past, and friends I have yet to meet...;Je vois des amis du passй et des amis que je n'ai pas encore rencontrйs.;Ich sehe Freunde aus der Vergangenheit und Freunde, denen ich erst noch begegnen muss.;;Veo a amigos de mi pasado, y a otros que aъn no he conocido.;;;;;;;;;x
EVTOPTB_EADAS_6817;Great battles play out before me.;De grandes batailles se jouent devant moi.;Vor meinen Augen spielen sich groЯe Schlachten ab.;;Gloriosas batallas se libran ante mн.;;;;;;;;;x
EVTOPTC_EADAS_6817;Shadows dissipate, revealing all they once hid.;Les ombres se dissipent, rйvйlant tout ce qu'elles ont cachй.;Schatten verfliegen und enthьllen alles, was sie einst verborgen hielten.;;Las sombras se disipan, revelando todo cuanto escondieron tiempo atrбs.;;;;;;;;;x
EVTOPTD_EADAS_6817;The wisdom of the past, written in ashen clouds.;La sagesse du passй, йcrite dans des nuages de cendres.;Die Weisheit der Vergangenheit, in aschfarbene Wolken geschrieben.;;La sabidurнa del pasado, escrita en nubes de ceniza.;;;;;;;;;x
EVTOPTE_EADAS_6817;The flow of gold is as malleable as steam.;Le flux d'or est aussi mallйable que la vapeur.;Der Strom von Gold ist formbar wie Dampf.;;El fluir del oro es maleable como el vapor.;;;;;;;;;x
EVTDESC_EADAS_6818;As my body is purged by the intoxicating smoke, my very being changes, and what once ailed me can no longer touch what I have become.;Alors que mon corps est purgй par la fumйe enivrante, mon кtre mкme change, et ce qui m'avait fait souffrir autrefois ne peut plus toucher ce que je suis devenu[Root.Get_E].;Als mein Kцrper durch den berauschenden Rauch gelдutert wird, wird mein innerstes Wesen einer Wandlung unterzogen, und was mich einst geplagt hat, kann dem, zu dem ich geworden bin, nichts mehr anhaben.;;Mientras el humo embriagador purga mi cuerpo, mi ser mбs intrнnseco cambia, y todo cuanto me afligнa deja de influir en aquello en lo que me he convertido.;;;;;;;;;x
EVTOPTA_EADAS_6818;My affliction has been driven away.;Mon affliction a йtй chassйe.;Meine Krankheit wurde vertrieben.;;Mi aflicciуn se ha disipado.;;;;;;;;;x
EVTDESC_EADAS_6800;It is time to open my mind to visions of paradise. They will ensure the steadiness of my hand as I act on behalf of the order, but how much do I dare reveal to myself?;Il est temps d'ouvrir mon esprit aux visions du paradis. Elles assureront la fermetй de ma main lorsque j'agirai au nom de l'Ordre, mais jusqu'oщ vais-je oser me les rйvйler ?;Es ist an der Zeit, meinen Geist fьr Visionen des Paradieses zu цffnen. Sie werden dafьr sorgen, dass ich eine ruhige Hand habe, wenn ich im Auftrag des Ordens handle, doch wie viel wage ich mir selbst einzugestehen?;;Ha llegado la hora de que abra la mente a las visiones del paraнso. Garantizarбn que mi mano sea firme cuando actъe en nombre de la Orden pero, їcuбnto me atrevo a revelarme a mн?;;;;;;;;;x
EVTDESC_EADAS_6802_GREAT;Clarity! I can see the world as if I am soaring above it, with eyes as sharp as an eagle. Never before have I felt so aware.;Clartй ! Je vois le monde comme si j'йtais au-dessus de lui, avec des yeux aussi perзants qu'un aigle. Jamais je ne me suis senti[Root.Get_E] aussi avisй[Root.Get_E].;Klarheit! Ich kann die Welt mit Augen sehen, die so scharf wie die eines Adlers sind, als wьrde ich hoch ьber ihr schweben. Noch nie zuvor habe ich mich so erweckt gefьhlt.;;ЎClaridad! Puedo ver el mundo desde arriba. Mi vista es aguda como la de un бguila. Nunca antes me habнa sentido tan consciente.;;;;;;;;;x
EVTDESC_EADAS_6802_GOOD;The visions have revealed much to me. I understand so much more now, even a hint of my own place in the great mosaic of [Root.Religion.GetHighGodNameCap]'s plan.;Les visions m'ont beaucoup rйvйlй. Je comprends bien plus maintenant, mкme un peu de ma propre place dans la grande mosaпque du projet de Dieu.;Die Visionen haben mir vieles offenbart. Jetzt verstehe ich so vieles mehr und ahne sogar, welchen Platz ich selbst im herrlichen Mosaik des Plans Gottes einnehme.;;Las visiones me han revelado mucho. Ahora entiendo mucho mбs, incluso un atisbo de mi propio lugar en el gran mosaico del plan de Dios.;;;;;;;;;x
EVTDESC_EADAS_6802_BAD;I woke in a haystack outside my tower window. My memories from the day before are hazy, but I remember the sensation of falling through darkness, surrounded by souls twisting and moaning in pain.;Je me suis rйveillй[Root.Get_E] dans une meule de foin sous la fenкtre de ma tour. Mes souvenirs de la veille sont brumeux, mais je me souviens de la sensation de tomber dans l'obscuritй, entourй[Root.Get_E] par des вmes se tordant et gйmissant de douleur.;Ich erwachte in einem Heuhaufen vor dem Fenster meines Turms. Meine Erinnerungen vom Tag zuvor sind verschwommen, doch ich weiЯ noch, wie es war, von Seelen umringt, die sich vor Schmerzen wanden und stцhnten, durch die Finsternis zu stьrzen.;;Me he despertado en un pajar que hay junto a la ventana de mi torre. Mis recuerdos son difusos, pero recuerdo que sentн como si cayera al vacнo, en medio de una espiral de maldad rodeada de almas retorciйndose, y gimiendo de dolor.;;;;;;;;;x
EVTOPTA_EADAS_6802_GREAT;The veil has been lifted!;Le voile a йtй levй !;Der Schleier wurde gelьftet!;;ЎEl misterio se ha destapado!;;;;;;;;;x
EVTOPTA_EADAS_6802_BAD;I might have to be more careful.;Je devrais кtre plus prudent[Root.Get_E].;Ich sollte vielleicht etwas vorsichtiger sein.;;Quizбs deba ir con mбs cuidado.;;;;;;;;;x
EVTDESC_EADAS_6803;It has been weeks since I last used the hashish, and I find my thoughts returning to that day time and time again. My mind refuses to let go of the visions I had of Paradise, and I'm longing for more.;Cela fait des semaines que je n'ai pas fumй de haschich, et les pensйes de ce jour me reviennent а maintes reprises. Mon esprit refuse d'oublier les visions que j'ai eues du Paradis, et je dйsire ardemment plus.;Es ist Wochen her, seit ich das letzte Mal Haschisch genommen habe, und von Zeit zu Zeit merke ich, wie meine Gedanken zu diesem Tag zurьckschweifen. Mein Verstand weigert sich, die Visionen vom Paradies zu vergessen, die ich hatte, und ich sehne mich nach mehr.;;Hace semanas que no consumo hachнs, pero sigo rememorando ese dнa con frecuencia. Mi mente se niega a olvidar las visiones que tuve del Paraнso, y ansнo mбs.;;;;;;;;;x
EVTDESC_EADAS_6806;It has been months since the last time I used the hashish, and as the memory of my visions fade, so does my desperate desire to experience it again.;Il y a des mois depuis la derniиre fois que j'ai fumй du haschich, et alors que le souvenir de mes visions s'estompe, tout comme mon dйsir dйsespйrй de les revivre.;Es ist Monate her, seit ich das letzte Mal Haschisch genommen habe, und mit der Erinnerung an meine Visionen schwindet auch mein verzweifelter Wunsch, dies erneut zu erleben.;;Hace meses que no pruebo el hachнs y a medida que el recuerdo de mis visiones se desvanece, tambiйn lo hace mi deseo desesperado de volver a vivir esa experiencia.;;;;;;;;;x
EVTDESCA_EADAS_6810;How could I not feel this hunger inside me before? No wonder the world is as it is when a hunger as demonic as this can reside silently for so long in my stomach!;Comment ai-je pu ne pas ressentir cette faim en moi avant ? Pas йtonnant que le monde soit comme il est quand une faim aussi dйmoniaque peut rйsider silencieusement pendant si longtemps dans mon estomac !;Wie kommt es nur, dass mir dieser Hunger frьher fremd war? Es ist kein Wunder, dass die Welt so ist, wie sie ist, wenn ein derart dдmonischer Hunger so lange still in meinem Bauch wohnen kann!;;їCуmo es que no he sentido tanta hambre hasta ahora? No me extraсa que el mundo estй como estб cuando mi estуmago sufre un hambre tan demonнaca y sigilosa durante tanto tiempo.;;;;;;;;;x
EVTOPTA_EADAS_6810;Yes, this chicken might banish my demons.;Oui, ce poulet pourrait bannir mes dйmons.;Ja, dieses Huhn kцnnte meine Dдmonen vielleicht vertreiben.;;Sн, este pollo serнa capaz de deshacerse de mis demonios.;;;;;;;;;x
EVTDESCB_EADAS_6810;Through the smoke filling my room I see clearly. Traitors to the left of me and false believers to the right. All of them clamoring for my head. What a fool I have been!;А travers la fumйe qui remplit ma chambre, je vois clairement. Les traоtres а gauche de moi et les faux croyants а droite. Tous clamant pour ma tкte. Que[Root.GetLLle] imbйcile j'ai йtй !;Durch den Rauch hindurch, der meine Kammer erfьllt, sehe ich vollkommen klar. Links von mir stehen Verrдter und rechts von mir die Anhдnger eines falschen Glaubens. Sie alle schreien nach meinem Kopf. Was war ich doch fьr ein Narr!;;El humo expandiйndose por mi habitaciуn me permite ver con claridad. Traidores a un lado y falsos creyentes al otro. Todos ellos clamando mi cabeza. ЎQuй idiota he sido!;;;;;;;;;x
